,Type,Links
0,men-clothing,https://www.myntra.com/men-clothing
1,women-clothing,https://www.myntra.com/women-clothing
2,footwear,https://www.myntra.com/footwear
3,watches,https://www.myntra.com/watches
4,wallets,https://www.myntra.com/wallets
5,bags,https://www.myntra.com/bags
7,jewellery,https://www.myntra.com/jewellery
8,belts,https://www.myntra.com/men-belts
9,ties,https://www.myntra.com/ties
10,cufflinks,https://www.myntra.com/cufflinks
11,pocket-squares,https://www.myntra.com/pocket-squares
12,caps,https://www.myntra.com/caps
13,hats,https://www.myntra.com/hats
15,scarves,https://www.myntra.com/scarves
16,gloves,https://www.myntra.com/gloves
17,phones-cases,https://www.myntra.com/phone-cases
18,rings,https://www.myntra.com/rings
19,wristwear,https://www.myntra.com/wristwear
20,socks,https://www.myntra.com/socks
21,bracelets,https://www.myntra.com/bracelets
22,chains,https://www.myntra.com/chains
